nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin,hora_fecha_inicio,hora_fecha_fin
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fbea6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-10-18,2025-10-18,11:00:00.0,23:59:00.0
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=74aea6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-09-27,2025-09-27,11:00:00.0,23:59:00.0
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6cfda6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-06-14,2025-06-14,11:00:00.0,23:59:00.0
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=591ea6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-07-12,2025-07-12,11:00:00.0,23:59:00.0
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=477ea6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-09-13,2025-09-13,11:00:00.0,23:59:00.0
Jornada de parkour en Barajas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=417da6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE BALANDRO 1,11:00,Instalación Deportiva Municipal Básica Alameda de Osuna I,2025-03-15,2025-03-15,11:00:00.0,23:59:00.0
Jornada de Puertas Abiertas marzo 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=65aaa2c1cb315910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-03-06,2025-03-09,00:00:00.0,23:59:00.0
Jornada para la empleabilidad con motivo del Día Internacional de la Mujer,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f0f26a636405910VgnVCM1000001d4a900aRCRD,28005,CALLE RIBERA DE CURTIDORES 2,,Centro Social Comunitario Annette Cabelli,2025-03-06,2025-03-06,00:00:00.0,23:59:00.0
Jornadas ciclistas femeninas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=39c2a6f664cb4910VgnVCM2000001f4a900aRCRD,,,10:00,,2025-09-27,2025-09-27,10:00:00.0,23:59:00.0
Jornadas ciclistas femeninas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1cb2a6f664cb4910VgnVCM2000001f4a900aRCRD,28042,CALLE PLAYA DE BOLNUEVO 1,10:00,Instalación Deportiva Municipal Básica Playa de Bolnuevo,2025-03-08,2025-03-08,10:00:00.0,23:59:00.0
Jornadas de calistenia. Día 28 de septiembre,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=500fa11cf75d4910VgnVCM2000001f4a900aRCRD,28042,AVENIDA LOGROÑO 70,11:00,Centro Deportivo Municipal Barajas,2025-09-28,2025-09-28,11:00:00.0,23:59:00.0
Jornadas de filosofía. La mirada de la lechuza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1705e01f5be02910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,,Centro Cultural Antonio Machado (San Blas - Canillejas),2024-10-03,2025-06-26,00:00:00.0,23:59:00.0
Jornadas de Sensibilización e Información sobre los Procesos Participativos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=484f53eb0c915910VgnVCM2000001f4a900aRCRD,28028,AVENIDA TOREROS 5,12:00,Centro Cultural Buenavista (Salamanca),2025-02-28,2025-02-28,12:00:00.0,23:59:00.0
Jornadas de Sensibilización e Información sobre los Procesos Participativos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a4f53eb0c915910VgnVCM2000001f4a900aRCRD,28028,AVENIDA TOREROS 5,12:00,Centro Cultural Buenavista (Salamanca),2025-03-21,2025-03-21,12:00:00.0,23:59:00.0
Josefina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bba7f84b5394910VgnVCM1000001d4a900aRCRD,28038,CALLE RISCO DE PELOCHE 14,18:00,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),2025-02-28,2025-02-28,18:00:00.0,23:59:00.0
Juancaballo - Chamartín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=10eedaba65bc4910VgnVCM1000001d4a900aRCRD,28002,CALLE MANTUANO 51,,Centro Cultural Nicolás Salmerón (Chamartín),2025-10-24,2025-10-24,00:00:00.0,23:59:00.0
Juancaballo - Latina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3dc727228cb4910VgnVCM1000001d4a900aRCRD,28044,AVENIDA LAS AGUILAS 2,19:00,Auditorio y sala de exposiciones Paco de Lucía (Latina),2025-04-11,2025-04-11,19:00:00.0,23:59:00.0
Jugar el arte en familia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e586ef6c9c305910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 14,16:30,Casa del Lector,2025-03-08,2025-03-08,16:30:00.0,23:59:00.0
Jugar el arte en familia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c386ef6c9c305910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 14,16:30,Casa del Lector,2025-04-12,2025-04-12,16:30:00.0,23:59:00.0
"Julieta, pero no mucho",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3ba2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,AVENIDA SEPTIMA 11,19:00,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),2025-03-01,2025-03-01,19:00:00.0,23:59:00.0
Kafig Companie - Mourad Merzouki,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d7c52df5d253910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,Centro Danza Matadero - CDM,2025-03-26,2025-03-29,00:00:00.0,23:59:00.0
Kiokio Solo - Fuencarral,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=107a8dca45bb4910VgnVCM1000001d4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,19:00,Centro Cultural La Vaguada (Fuencarral - El Pardo),2025-10-24,2025-10-24,19:00:00.0,23:59:00.0
Kompass y Mirage,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6ec727228cb4910VgnVCM1000001d4a900aRCRD,,,19:00,Centro Cultural Zazuar (Villa de Vallecas),2025-04-12,2025-04-12,19:00:00.0,23:59:00.0
Kompass y Mirage en Latina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d14801500bc4910VgnVCM2000001f4a900aRCRD,28044,AVENIDA LAS AGUILAS 2,19:00,Auditorio y sala de exposiciones Paco de Lucía (Latina),2025-04-13,2025-04-13,19:00:00.0,23:59:00.0
Kor´sia «Simulacro»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b3402a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,20:00,Centro de Cultura Contemporánea Conde Duque,2025-06-20,2025-06-22,20:00:00.0,23:59:00.0
Kukai Dantza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa9f52df5d253910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,20:00,Centro Danza Matadero - CDM,2025-03-13,2025-03-13,20:00:00.0,23:59:00.0
Kukai Dantza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea426cf8c3363910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 14,19:00,Centro Danza Matadero - CDM,2025-03-16,2025-03-16,19:00:00.0,23:59:00.0
Kukai Dantza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d226cf8c3363910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 14,20:00,Centro Danza Matadero - CDM,2025-03-14,2025-03-14,20:00:00.0,23:59:00.0
Kukai Dantza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c326cf8c3363910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 14,20:00,Centro Danza Matadero - CDM,2025-03-15,2025-03-15,20:00:00.0,23:59:00.0
Kukuryku - Cía. Ola Muchin (Cataluña),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3dd9cb2f80d4910VgnVCM1000001d4a900aRCRD,28009,AVENIDA MÉXICO 4,,Teatro Municipal de Títeres. Parque de El Retiro,2025-04-19,2025-04-20,00:00:00.0,23:59:00.0
La AECC y su misión: visión integral el cáncer,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=260964926f415910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,Biblioteca Pública Municipal San Fermín (Usera),2025-02-25,2025-02-25,18:00:00.0,23:59:00.0
La aventura de la palabra,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=31deb0f8cebe1910VgnVCM1000001d4a900aRCRD,28001,PLAZA COLON 4,19:30,Fernán Gómez Centro Cultural de la Villa,2025-05-16,2025-05-16,19:30:00.0,23:59:00.0
La bicicleta de Malula,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9643470347225910VgnVCM2000001f4a900aRCRD,28020,CALLE BRAVO MURILLO 251,18:00,Centro Sociocultural Tetuán,2025-03-14,2025-03-14,18:00:00.0,23:59:00.0
La bruja novata,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2edf2816df225910VgnVCM2000001f4a900aRCRD,28020,CALLE BRAVO MURILLO 251,12:00,Centro Sociocultural Tetuán,2025-03-22,2025-03-22,12:00:00.0,23:59:00.0
La buena obra - San Blas - Canillejas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03ea8dca45bb4910VgnVCM1000001d4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
La construcción de Casa del Lector,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab7ffa7acf152910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-10-24,2025-06-01,00:00:00.0,23:59:00.0
La Copla y La América,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64d2b249a0915910VgnVCM2000001f4a900aRCRD,28051,AVENIDA LA GAVIA 13,18:00,Auditorio Municipal al aire libre Lola Camarena,2025-03-15,2025-03-15,18:00:00.0,23:59:00.0
La danza en el tiempo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e22f253fbe9f4910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,17:00,Matadero Madrid,2025-03-09,2025-03-09,17:00:00.0,23:59:00.0
La Diosa Razón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b7185f1bda62910VgnVCM1000001d4a900aRCRD,28001,PLAZA COLON 4,,Fernán Gómez Centro Cultural de la Villa,2025-04-22,2025-05-04,00:00:00.0,23:59:00.0
La discriminación racial en el arte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5eb36c13e315910VgnVCM1000001d4a900aRCRD,28031,CALLE MANUEL VELEZ 10,19:00,Centro Sociocultural Francisco Fatou (Villa de Vallecas),2025-03-24,2025-03-24,19:00:00.0,23:59:00.0
La Estrella Azul,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f35d0a39f7464910VgnVCM2000001f4a900aRCRD,28031,CALLE MANUEL VELEZ 10,19:00,Centro Sociocultural Francisco Fatou (Villa de Vallecas),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
La exposición filantrópica que salvó al mundo. Balmis e Isabel Zendal,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc183276cdfd4910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 6,19:00,Centro Cultural Casa del Reloj (Arganzuela),2025-02-24,2025-02-24,19:00:00.0,23:59:00.0
La gira de rock Quijote,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b3fec08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,12:30,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-02,2025-03-02,12:30:00.0,23:59:00.0
"La Guerra de la Independencia, 1808-1814",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c7a31a577f8f4910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-04-01,2025-04-01,19:00:00.0,23:59:00.0
La guerra de los Lulus,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=de0d948aceca4910VgnVCM1000001d4a900aRCRD,28008,CALLE SANTA POLA 22,19:00,Auditorio Joaquín Rosado (Moncloa-Aravaca),2025-02-27,2025-02-27,19:00:00.0,23:59:00.0
La historia interminable,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b330470347225910VgnVCM2000001f4a900aRCRD,28020,CALLE BRAVO MURILLO 251,12:00,Centro Sociocultural Tetuán,2025-03-08,2025-03-08,12:00:00.0,23:59:00.0
"La huerta de Maris Stella. A plantar la patata temprana, ¡qué ya toca!",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=149573d595325910VgnVCM2000001f4a900aRCRD,28026,CALLE DOCTOR TOLOSA LATOUR 16,16:45,Centro de Educación Ambiental y Cultural Maris Stella (Usera),2025-03-28,2025-03-28,16:45:00.0,23:59:00.0
La inabordable tarea de ser siempre la misma persona,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=78760c3d9a405910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:00,Matadero Madrid,2025-03-14,2025-03-14,19:00:00.0,23:59:00.0
La incógnita de Cherner,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9aba2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,AVENIDA SEPTIMA 11,19:00,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),2025-03-15,2025-03-15,19:00:00.0,23:59:00.0
La isla de las cosas perdidas - La Tendía (Murcia),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8225b4305884910VgnVCM2000001f4a900aRCRD,28009,AVENIDA MÉXICO 4,12:30,Teatro Municipal de Títeres. Parque de El Retiro,2025-03-22,2025-03-23,12:30:00.0,23:59:00.0
La José y El Torri,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6c91050085a4910VgnVCM1000001d4a900aRCRD,28032,CALLE VILLARDONDIEGO 36,19:00,Centro Cultural el Madroño (Vicálvaro),2025-02-28,2025-02-28,19:00:00.0,23:59:00.0
La lámpara mágica,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f92318cb1405910VgnVCM2000001f4a900aRCRD,28015,CALLE AMANIEL 29,,Centro Cultural Clara del Rey - Museo ABC (Centro),2025-03-15,2025-03-15,00:00:00.0,23:59:00.0
La Leyenda del Titanic,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ef58c83603a0910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-09-12,2025-07-31,00:00:00.0,23:59:00.0
La literatura de las escritoras sirias en el exilio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=563b114bbe725910VgnVCM2000001f4a900aRCRD,28009,PASEO COLOMBIA 1,19:00,Centro Cultural Casa de Vacas (Retiro),2025-03-10,2025-03-10,19:00:00.0,23:59:00.0
La llegada,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=faa4b6a7be294910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,20:00,Cineteca Madrid,2025-02-25,2025-02-25,20:00:00.0,23:59:00.0
La loba,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=02223bbfeae15910VgnVCM2000001f4a900aRCRD,28039,CALLE ALMANSA 9,18:30,Centro Sociocultural José de Espronceda (Tetuán),2025-03-19,2025-03-19,18:30:00.0,23:59:00.0
La luz que imaginamos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4b97f84b5394910VgnVCM1000001d4a900aRCRD,28038,CALLE RISCO DE PELOCHE 14,19:00,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),2025-02-27,2025-02-27,19:00:00.0,23:59:00.0
La magia del color,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1724407e6a294910VgnVCM1000001d4a900aRCRD,28001,CALLE NUÑEZ DE BALBOA 40,,"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",2025-02-08,2025-02-28,00:00:00.0,23:59:00.0
La Magia existe. El mago Héctor,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8d11542e85d15910VgnVCM1000001d4a900aRCRD,28022,CALLE ALIAGA 5,,Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),2025-03-09,2025-03-09,00:00:00.0,23:59:00.0
La medicina en la pintura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b7733d971394910VgnVCM1000001d4a900aRCRD,28038,CALLE RISCO DE PELOCHE 14,19:00,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),2025-02-24,2025-02-24,19:00:00.0,23:59:00.0
La mejor idea (Un americano con el culo al aire),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=27b1045e3fd15910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,20:00,Cineteca Madrid,2025-03-07,2025-03-07,20:00:00.0,23:59:00.0
"La Mina Tres: evento de diseño, ilustración y dibujo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f22a49aa717db810VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,11:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-04-26,2025-04-26,11:00:00.0,23:59:00.0
"La Mina Tres: evento de diseño, ilustración y dibujo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a09857e11e5e1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,11:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-05-31,2025-05-31,11:00:00.0,23:59:00.0
"La Mina Tres: evento de diseño, ilustración y dibujo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=910a49aa717db810VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,11:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-03-29,2025-03-29,11:00:00.0,23:59:00.0
"La Mina Tres: evento de diseño, ilustración y dibujo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=698857e11e5e1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,11:00,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-06-28,2025-06-28,11:00:00.0,23:59:00.0
La mochila del juglar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce3ae51b020e4910VgnVCM1000001d4a900aRCRD,28043,CALLE BENITA AVILA 23,18:30,Centro Cultural Federico Chueca (Hortaleza),2025-02-28,2025-02-28,18:30:00.0,23:59:00.0
La mujer en el flamenco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3c433d971394910VgnVCM1000001d4a900aRCRD,28041,PLAZA ASOCIACION 1,18:30,Centro Cultural Meseta de Orcasitas (Usera),2025-03-07,2025-03-07,18:30:00.0,23:59:00.0
La mujer en el siglo XVI desde el Retrato,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae0cc08889415910VgnVCM2000001f4a900aRCRD,,,19:00,Centro Cultural Zazuar (Villa de Vallecas),2025-03-26,2025-03-26,19:00:00.0,23:59:00.0
La primavera en el mundo macro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4090157fd8e15910VgnVCM1000001d4a900aRCRD,28004,CALLE BARCELO 4,08:30,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),2025-02-21,2025-03-28,08:30:00.0,23:59:00.0
La restauración,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:00,Cineteca Madrid,2025-03-11,2025-03-11,19:00:00.0,23:59:00.0
La revolución de las musas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dafc109a5305910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Cineteca Madrid,2025-03-07,2025-03-09,00:00:00.0,23:59:00.0
La señorita de Trévelez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9fb0f8cebe1910VgnVCM1000001d4a900aRCRD,28001,PLAZA COLON 4,,Fernán Gómez Centro Cultural de la Villa,2025-02-16,2025-04-20,00:00:00.0,23:59:00.0
La solterona,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=63013bbfeae15910VgnVCM2000001f4a900aRCRD,28039,CALLE ALMANSA 9,18:30,Centro Sociocultural José de Espronceda (Tetuán),2025-03-12,2025-03-12,18:30:00.0,23:59:00.0
La sombra del Tenorio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d69ec57c1c915910VgnVCM1000001d4a900aRCRD,28031,CALLE PASO DE VILLAMANRIQUE 3,19:00,Teatro Municipal de Vallecas,2025-04-05,2025-04-05,19:00:00.0,23:59:00.0
La sonrisa de monalisa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c2f7bfae6da4910VgnVCM2000001f4a900aRCRD,28031,CALLE PASO DE VILLAMANRIQUE 3,19:00,Teatro Municipal de Vallecas,2025-03-15,2025-03-15,19:00:00.0,23:59:00.0
LABORATORIO DE INTELIGENCIA EMOCIONAL,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2549f3687f7a4910VgnVCM2000001f4a900aRCRD,28029,CALLE ARZOBISPO MORCILLO 7,18:00,Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),2025-02-06,2025-02-27,18:00:00.0,23:59:00.0
